Coin, 1, , 
Super Modifier Potion, 15000, , Hit List
Super Marking Potion, 15000, , Hit List
Variant Potion, 15000, , Hit List
Anomalous Wand, 15000, , Hit List
Rainbow Slime, 30000, , Hit List
Prism Wand, 30000, , Hit List
Starfield Wand, 30000, , Hit List
Wizards Pendant, 40000, , Hit List
High Gemstone, 40000, , Hit List
Fay Gemstone, 40000, , Hit List
Harvesters Pitchfork, 40000, , Hit List
Sooty Band, 1000, 10, Common Transformation
Dun Band, 1000, 10, Common Transformation
Pangare Band, 1000, 10, Common Transformation
Gray Band, 1000, 10, Common Transformation
Flaxen Band, 5000, 10, Uncommon Transformation
Silver Band, 5000, 10, Uncommon Transformation
Illuminated Wand, 5000, 10, Uncommon Transformation
Cuirass Charm, 5000, 10, Uncommon Transformation
Leopard Charm, 5000, 10, Uncommon Transformation
Crowned Charm, 5000, 10, Uncommon Transformation
White Pendant, 5000, 10, Uncommon Transformation
Stained Glass Shards, 5000, 10, Uncommon Transformation
Fragmented Geode, 5000, 10, Uncommon Transformation
Glittering Swarf, 5000, 10, Uncommon Transformation
Sepulchered Wand, 5000, 10, Uncommon Transformation
Collar Charm, 5000, 10, Uncommon Transformation
Girdle Charm, 5000, 10, Uncommon Transformation
False Leopard Charm, 10000, 10, Rare Transformation
Tapestry Wand, 10000, 10, Rare Transformation
Tabard Wand, 10000, 10, Rare Transformation
Gilt Wand, 10000, 10, Rare Transformation
Blanched Charm, 10000, 10, Rare Transformation
Furled Pennant, 10000, 10, Rare Transformation
Signet Ring, 10000, 10, Rare Transformation
Vellum Wand, 10000, 10, Rare Transformation
Glowing Lantern, 10000, 10, Rare Transformation
Harlequin Charm, 15000, 10, Epic Transformation
Opal Wand, 15000, 10, Epic Transformation
Shroud Charm, 15000, 10, Epic Transformation
Fewspot Charm, 15000, 10, Epic Transformation
Lacquer Wand, 15000, 10, Epic Transformation
Filigree Charm, 20000, 10, Legendary Transformation
Ossuary Charm, 20000, 10, Legendary Transformation
Vault Key, 1000, , Misc
Scroll Pack, 5000, , Misc
Jewelry Box, 15000, , Misc
Tome of Skull Summoning, 20000, , Misc
Tome of Oom Summoning, 20000, , Misc
Owlbear, 5000, , Unbonded Pets
Phantasmal Hand, 10000, , Unbonded Pets
Mutant Hound, 10000, , Unbonded Pets
Addled Minotaur, 10000, , Unbonded Pets
Celestial Snake, 20000, , Unbonded Pets
Living Puppet, 30000, , Unbonded Pets
Baby Skull, 30000, , Unbonded Pets
Botched Servant, 30000, , Unbonded Pets
Strange Shadow, 30000, , Unbonded Pets
Gelatinous Cube, 30000, , Unbonded Pets
